Voltage(V),Current(A),Test_Time(s),charging_stage
3.6273813247680655,0.5503185987472534,150.09328732981606,1
3.661387443542481,0.5499579906463623,180.10860677134727,1
3.689078092575073,0.5501382946968079,210.12411429664107,1
3.712882280349731,0.5499579906463623,240.1388439331968,1
3.733609914779663,0.5501382946968079,270.15403961127134,1
3.752232313156128,0.5501382946968079,300.1696938572382,1
3.768749475479126,0.5501382946968079,330.1844007521147,1
3.7818663120269775,0.5501382946968079,360.19970549701736,1
3.7891533374786377,0.5499579906463623,390.215137915121,1
3.791906118392944,0.5501382946968079,420.2300848933591,1
3.7932016849517822,0.549777626991272,450.2451252493232,1
3.794173240661621,0.5501382946968079,480.2603036693855,1
3.79498291015625,0.549777626991272,510.2755056932757,1
3.795792579650879,0.5499579906463623,540.2906775770476,1
3.796926021575928,0.5499579906463623,570.3058770596042,1
3.7978978157043457,0.5501382946968079,600.3210741762641,1
3.7990312576293945,0.5499579906463623,630.3365624886735,1
3.8004887104034415,0.5501382946968079,660.3515660429164,1
3.80194616317749,0.5499579906463623,690.3665980330302,1
3.803565502166748,0.5499579906463623,720.3817928639936,1
3.805346727371216,0.5501382946968079,750.3971061100839,1
3.8069660663604736,0.5499579906463623,780.4122658936983,1
3.809071063995361,0.5501382946968079,810.427354419717,1
3.811338186264038,0.5501382946968079,840.442510554237,1
3.813281536102295,0.5501382946968079,870.4577103124807,1
3.8157105445861816,0.5501382946968079,900.4730071526823,1
3.818463325500488,0.5501382946968079,930.4880654082576,1
3.820892333984375,0.5501382946968079,960.5032487656252,1
3.8236451148986816,0.5501382946968079,990.5184452055988,1
3.8267219066619873,0.5501382946968079,1020.5336368035044,1
3.829798698425293,0.5499579906463623,1050.5488093288752,1
3.8327136039733887,0.5501382946968079,1080.5640204855272,1
3.835952281951904,0.5501382946968079,1110.579219401672,1
3.83919095993042,0.5501382946968079,1140.5943481629693,1
3.8422675132751465,0.5501382946968079,1170.6095431894198,1
3.845344305038452,0.5501382946968079,1200.624845538351,1
3.848421096801758,0.5503185987472534,1230.6399555779883,1
3.8513360023498535,0.5499579906463623,1260.6550970058547,1
