Voltage(V),Current(A),Test_Time(s),charging_stage
3.627543210983277,0.5501382946968079,101899.1721326703,1
3.670779466629028,0.5501382946968079,101929.18764016478,1
3.701870918273926,0.5501382946968079,101959.20274972596,1
3.726161003112793,0.5501382946968079,101989.21806945674,1
3.745593070983887,0.5501382946968079,102019.2333022054,1
3.760652780532837,0.5499579906463623,102049.24865867288,1
3.7713406085968018,0.5499579906463623,102079.26393853418,1
3.778303623199463,0.5501382946968079,102109.27933457545,1
3.783161640167236,0.5501382946968079,102139.29460227134,1
3.78769588470459,0.5501382946968079,102169.30989364134,1
3.7914204597473145,0.5501382946968079,102199.32519564289,1
3.79530668258667,0.5501382946968079,102229.34052962923,1
3.7990312576293945,0.5501382946968079,102259.3558253451,1
3.80259370803833,0.5501382946968079,102289.37122976728,1
3.805670499801636,0.5501382946968079,102319.38636280206,1
3.809071063995361,0.5499579906463623,102349.40189906332,1
3.812309741973877,0.5499579906463623,102379.41699994284,1
3.8155484199523926,0.5501382946968079,102409.43229429028,1
3.818625211715698,0.5501382946968079,102439.44760323915,1
3.821702003479004,0.5501382946968079,102469.4628963134,1
3.8246169090271,0.5499579906463623,102499.4782076733,1
3.8278555870056152,0.5501382946968079,102529.49350062222,1
3.831256151199341,0.5501382946968079,102559.50882245328,1
3.8343329429626474,0.5501382946968079,102589.52411338215,1
3.837733507156372,0.5499579906463623,102619.53953447094,1
3.840972185134888,0.5503185987472534,102649.55507257684,1
3.844372749328613,0.5501382946968079,102679.5700311862,1
3.847287654876709,0.5499579906463623,102709.58534078673,1
3.8510119915008554,0.5503185987472534,102739.60061655277,1
3.85425066947937,0.5503185987472534,102769.61594494517,1
3.857165575027466,0.5503185987472534,102799.63417547678,1
3.860242366790772,0.5501382946968079,102829.64683237571,1
3.863318920135498,0.5501382946968079,102859.66185159638,1
3.866395711898804,0.5499579906463623,102889.67715231972,1
3.8693106174468994,0.5501382946968079,102919.69244095792,1
3.871901512145996,0.5501382946968079,102949.70788174588,1
3.8744924068450928,0.5499579906463623,102979.72306410376,1
3.8767595291137695,0.5499579906463623,103009.73851319244,1
3.879350423812866,0.5503185987472534,103039.75367207172,1
3.881293773651123,0.5501382946968079,103069.76893100576,1
3.8833987712860103,0.5501382946968079,103099.78424697217,1
3.885342121124268,0.5501382946968079,103129.79955237218,1
